Product,Sub-product,State,Rev_Million
Mortgage,Other mortgage,ME,25
Debt collection,"Other (i.e. phone, health club, etc.)",WI,28
Mortgage,Conventional adjustable mortgage (ARM),NE,37
Mortgage,Second mortgage,GA,28
Mortgage,Home equity loan or line of credit,NV,29
Money transfers,International money transfer,TN,37
Debt collection,Credit card,ND,33
Mortgage,Home equity loan or line of credit,SC,22
Debt collection,Mortgage,IL,19
Money transfers,Domestic (US) money transfer,OH,11
Debt collection,Non-federal student loan,CO,45
Bank account or service,(CD) Certificate of deposit,NJ,39
Bank account or service,Other bank product/service,ME,39
Debt collection,Auto,PA,33
Debt collection,Medical,DE,31
Debt collection,"Other (i.e. phone, health club, etc.)",VT,41
Mortgage,Other mortgage,NE,21
Bank account or service,Savings account,GA,21
Credit reporting,,WI,33
Debt collection,Non-federal student loan,AZ,31
Debt collection,Medical,OR,15
Bank account or service,Savings account,VA,25
Bank account or service,Cashing a check without an account,NC,15
Bank account or service,(CD) Certificate of deposit,DE,18
Consumer Loan,Vehicle lease,MD,59
Bank account or service,Checking account,AR,25
Debt collection,Credit card,DE,44
Debt collection,Mortgage,MO,31
Mortgage,Conventional fixed mortgage,WV,19
Credit card,,AK,76
Mortgage,Other mortgage,AR,31
Debt collection,I do not know,HI,10
Debt collection,I do not know,KS,45
Student loan,Non-federal student loan,AZ,19
Student loan,Non-federal student loan,NM,45
Bank account or service,Checking account,NM,41
Debt collection,Medical,SC,16
Debt collection,Non-federal student loan,DC,27
Debt collection,Non-federal student loan,NV,29
Debt collection,Mortgage,VA,44
Money transfers,International money transfer,TX,27
Debt collection,Federal student loan,GA,12
Debt collection,Medical,ID,43
Debt collection,Credit card,AL,12
Consumer Loan,Installment loan,IL,70
Consumer Loan,Installment loan,LA,55
Mortgage,Other mortgage,RI,23
Student loan,Non-federal student loan,WY,12
Bank account or service,Checking account,VT,43
Bank account or service,Checking account,MT,41
Student loan,Non-federal student loan,KY,44
Mortgage,Conventional adjustable mortgage (ARM),AK,33
Debt collection,Medical,IN,20
Mortgage,Conventional adjustable mortgage (ARM),SC,21
Mortgage,Other mortgage,WV,18
Mortgage,Conventional adjustable mortgage (ARM),MO,18
Mortgage,VA mortgage,LA,37
Debt collection,Auto,IA,40
Bank account or service,(CD) Certificate of deposit,SC,14
Consumer Loan,Vehicle loan,MO,57
Debt collection,Medical,MI,45
Money transfers,International money transfer,MD,30
Bank account or service,Other bank product/service,SC,12
Debt collection,Auto,MS,20
Mortgage,Home equity loan or line of credit,MO,19
Debt collection,Mortgage,WA,30
Debt collection,Mortgage,TX,15
Mortgage,Other mortgage,AE,37
Bank account or service,Cashing a check without an account,CT,18
Bank account or service,Savings account,CO,41
Mortgage,FHA mortgage,NE,38
Money transfers,International money transfer,MO,22
Mortgage,Reverse mortgage,IL,38
Consumer Loan,Installment loan,PA,73
Debt collection,Medical,NM,36
Consumer Loan,Installment loan,MS,80
Debt collection,Federal student loan,TX,38
Consumer Loan,Personal line of credit,RI,52
Debt collection,Credit card,DC,41
Debt collection,Credit card,MT,21
Mortgage,VA mortgage,CO,27
Mortgage,Other mortgage,ND,39
Debt collection,I do not know,MT,12
Consumer Loan,Vehicle loan,CT,81
Debt collection,"Other (i.e. phone, health club, etc.)",WV,39
Bank account or service,Other bank product/service,RI,22
Debt collection,"Other (i.e. phone, health club, etc.)",FM,23
Mortgage,VA mortgage,MO,37
Bank account or service,Other bank product/service,AZ,24
Consumer Loan,Vehicle lease,CT,78
Debt collection,"Other (i.e. phone, health club, etc.)",ID,15
Debt collection,Credit card,VT,17
Consumer Loan,Installment loan,TN,60
Debt collection,Federal student loan,KY,43
Mortgage,Conventional fixed mortgage,VT,40
Debt collection,Auto,AZ,16
Debt collection,Federal student loan,UT,40
Bank account or service,(CD) Certificate of deposit,AL,12
Consumer Loan,Personal line of credit,NM,53
Consumer Loan,Vehicle loan,CO,71
Debt collection,Medical,AL,16
Bank account or service,(CD) Certificate of deposit,VA,43
Mortgage,Second mortgage,VA,13
Debt collection,"Other (i.e. phone, health club, etc.)",CT,45
Money transfers,International money transfer,CO,15
Bank account or service,Checking account,MS,17
Money transfers,Domestic (US) money transfer,IA,28
Mortgage,Home equity loan or line of credit,RI,39
Debt collection,Credit card,HI,35
Debt collection,Credit card,WA,30
Mortgage,Reverse mortgage,CA,23
Debt collection,Mortgage,OH,12
Student loan,Non-federal student loan,,44
Debt collection,Federal student loan,MO,36
Money transfers,International money transfer,NJ,43
Payday loan,Payday loan,PA,27
Credit reporting,,VT,27
Debt collection,Federal student loan,MN,29
Bank account or service,(CD) Certificate of deposit,GA,38
Student loan,Non-federal student loan,NE,39
Money transfers,Domestic (US) money transfer,WI,43
Bank account or service,Other bank product/service,WI,13
Bank account or service,(CD) Certificate of deposit,KS,28
Consumer Loan,Vehicle loan,NH,59
Mortgage,Second mortgage,NC,31
Mortgage,Conventional adjustable mortgage (ARM),ID,30
Debt collection,Credit card,,25
Consumer Loan,Installment loan,WI,75
Consumer Loan,Personal line of credit,FL,51
Payday loan,Payday loan,FL,23
Credit reporting,,NM,32
Debt collection,Auto,CO,10
Debt collection,Payday loan,CA,28
Payday loan,Payday loan,TX,45
Debt collection,Payday loan,NC,21
Mortgage,Home equity loan or line of credit,OR,44
Debt collection,Federal student loan,NV,17
Debt collection,Payday loan,FL,12
Mortgage,Home equity loan or line of credit,DC,18
Credit card,,SD,55
Payday loan,Payday loan,IA,26
Debt collection,"Other (i.e. phone, health club, etc.)",NH,12
Mortgage,Second mortgage,OH,19
Bank account or service,Savings account,,30
Debt collection,Federal student loan,ID,12
Bank account or service,Savings account,MS,14
Payday loan,Payday loan,AZ,11
Bank account or service,Other bank product/service,DC,38
Debt collection,Mortgage,DC,25
Bank account or service,Other bank product/service,WA,29
Mortgage,Home equity loan or line of credit,IN,21
Mortgage,Conventional fixed mortgage,ND,18
Debt collection,Mortgage,MA,11
Debt collection,I do not know,WV,32
Mortgage,Conventional fixed mortgage,DC,24
Bank account or service,(CD) Certificate of deposit,NV,15
Money transfers,International money transfer,NM,28
Debt collection,Non-federal student loan,WA,28
Bank account or service,(CD) Certificate of deposit,IN,10
Debt collection,Medical,TN,22
Consumer Loan,Vehicle loan,OR,81
Debt collection,Credit card,NV,20
Consumer Loan,Vehicle lease,GA,69
Debt collection,Credit card,AR,38
Debt collection,Payday loan,OH,20
Debt collection,Non-federal student loan,NC,27
Consumer Loan,Installment loan,NC,79
Debt collection,Mortgage,OK,35
Mortgage,Conventional fixed mortgage,MT,31
Consumer Loan,Vehicle lease,IA,84
Money transfers,International money transfer,AZ,43
Student loan,Non-federal student loan,WI,18
Debt collection,Auto,AL,21
Debt collection,Auto,MI,12
Payday loan,Payday loan,MD,44
Bank account or service,Savings account,SC,31
Consumer Loan,Vehicle lease,NC,76
Debt collection,Mortgage,NM,41
Mortgage,Second mortgage,LA,23
Consumer Loan,Personal line of credit,NJ,75
Debt collection,Federal student loan,AZ,21
Debt collection,Payday loan,IN,40
Debt collection,Medical,CT,35
Consumer Loan,Installment loan,MI,56
Debt collection,Mortgage,ID,31
Consumer Loan,Vehicle lease,NJ,58
Payday loan,Payday loan,OH,26
Credit reporting,,MT,23
Money transfers,Domestic (US) money transfer,,37
Bank account or service,(CD) Certificate of deposit,WA,10
Consumer Loan,Personal line of credit,TX,70
Money transfers,International money transfer,NY,43
Debt collection,Non-federal student loan,OR,30
Student loan,Non-federal student loan,KS,43
Debt collection,Payday loan,MS,12
Debt collection,Payday loan,NM,24
Payday loan,Payday loan,WI,43
Money transfers,International money transfer,OR,17
Mortgage,Conventional adjustable mortgage (ARM),AR,27
Consumer Loan,Vehicle loan,MN,79
Consumer Loan,Vehicle loan,MT,61
Debt collection,Credit card,SD,25
Mortgage,Conventional adjustable mortgage (ARM),MS,41
Mortgage,Reverse mortgage,MA,29
Mortgage,Other mortgage,AK,43
Bank account or service,Checking account,ME,10
Debt collection,Mortgage,KS,10
Payday loan,Payday loan,DE,37
Debt collection,Non-federal student loan,TN,15
Payday loan,Payday loan,OR,21
Debt collection,Federal student loan,IA,17
Bank account or service,Checking account,IA,42
Bank account or service,Savings account,NH,27
Debt collection,Mortgage,MN,28
Mortgage,Conventional adjustable mortgage (ARM),DE,24
Money transfers,Domestic (US) money transfer,NJ,44
Debt collection,"Other (i.e. phone, health club, etc.)",SD,44
Student loan,Non-federal student loan,AK,45
Mortgage,Conventional fixed mortgage,MH,36
Payday loan,Payday loan,TN,18
Debt collection,Auto,,18
Debt collection,Payday loan,TX,28
Mortgage,FHA mortgage,IA,13
Debt collection,Auto,MT,26
Debt collection,Credit card,SC,24
Debt collection,Mortgage,LA,45
Mortgage,FHA mortgage,,10
Student loan,Non-federal student loan,MS,41
Bank account or service,Other bank product/service,OR,21
Consumer Loan,Installment loan,OK,74
Debt collection,Medical,NH,17
Money transfers,International money transfer,UT,22
Consumer Loan,Vehicle lease,OH,66
Money transfers,International money transfer,NC,32
Mortgage,VA mortgage,AK,23
Debt collection,Credit card,RI,15
Debt collection,I do not know,IA,11
Debt collection,Payday loan,ME,45
Mortgage,Reverse mortgage,CT,34
Consumer Loan,Personal line of credit,GA,51
Debt collection,Mortgage,NJ,11
Debt collection,Mortgage,OR,16
Debt collection,Auto,MD,30
Debt collection,Credit card,NC,37
Student loan,Non-federal student loan,AL,24
Payday loan,Payday loan,MI,35
Debt collection,Medical,AZ,22
Payday loan,Payday loan,NY,36
Debt collection,I do not know,UT,32
Payday loan,Payday loan,MO,10
Mortgage,VA mortgage,UT,13
Debt collection,Payday loan,,16
Bank account or service,(CD) Certificate of deposit,MD,26
Debt collection,Payday loan,OK,32
Mortgage,Conventional adjustable mortgage (ARM),KY,15
Debt collection,Federal student loan,FL,12
Debt collection,Non-federal student loan,MD,28
Debt collection,Payday loan,MI,41
Credit reporting,,SD,18
Debt collection,Non-federal student loan,MS,29
Debt collection,Payday loan,AL,38
Debt collection,Mortgage,DE,24
Mortgage,VA mortgage,WI,12
Debt collection,Payday loan,NJ,20
Debt collection,Payday loan,LA,30
Debt collection,Payday loan,TN,23
Debt collection,Payday loan,WI,12
Debt collection,"Other (i.e. phone, health club, etc.)",AP,32
Debt collection,Payday loan,DC,14
Mortgage,Other mortgage,SD,23
Debt collection,Credit card,WV,43
Consumer Loan,Vehicle loan,OK,69
Debt collection,I do not know,AK,13
Mortgage,FHA mortgage,KY,39
Debt collection,Federal student loan,IN,43
Payday loan,Payday loan,AL,29
Mortgage,Home equity loan or line of credit,ME,37
Mortgage,Reverse mortgage,PA,44
Payday loan,Payday loan,CA,29
Debt collection,Non-federal student loan,WV,27
Consumer Loan,Vehicle lease,KY,62
Debt collection,Federal student loan,AR,15
Payday loan,Payday loan,LA,24
Debt collection,Payday loan,ID,39
Debt collection,Federal student loan,OR,31
Bank account or service,Checking account,AK,35
Bank account or service,(CD) Certificate of deposit,,11
Debt collection,Mortgage,MD,35
Consumer Loan,Installment loan,HI,59
Credit card,,VI,74
Money transfers,International money transfer,MI,43
Consumer Loan,Personal line of credit,VA,54
Debt collection,Medical,NE,20
Debt collection,Federal student loan,IL,16
Payday loan,Payday loan,MA,29
Debt collection,Payday loan,AZ,16
Bank account or service,Other bank product/service,UT,29
Consumer Loan,Vehicle lease,DC,81
Bank account or service,(CD) Certificate of deposit,FL,35
Mortgage,VA mortgage,TN,41
Bank account or service,Cashing a check without an account,NY,31
Debt collection,Non-federal student loan,VA,40
Money transfers,International money transfer,RI,32
Bank account or service,Other bank product/service,KS,43
Bank account or service,Other bank product/service,TN,13
Consumer Loan,Personal line of credit,PA,51
Debt collection,Federal student loan,WI,23
Debt collection,Payday loan,OR,42
Consumer Loan,Vehicle loan,DC,83
Debt collection,Medical,ME,39
Mortgage,Home equity loan or line of credit,UT,38
Debt collection,Auto,ND,20
Debt collection,Payday loan,NY,14
Mortgage,FHA mortgage,DC,24
Debt collection,Federal student loan,NC,14
Debt collection,Payday loan,SD,17
Consumer Loan,Personal line of credit,IL,74
Consumer Loan,Installment loan,OR,51
Debt collection,Credit card,NM,40
Consumer Loan,Installment loan,ME,67
Debt collection,Payday loan,HI,11
Money transfers,Domestic (US) money transfer,IL,28
Debt collection,"Other (i.e. phone, health club, etc.)",AK,45
Payday loan,Payday loan,IL,45
Mortgage,Conventional fixed mortgage,WY,31
Mortgage,VA mortgage,WV,23
Debt collection,Payday loan,WA,23
Debt collection,I do not know,SD,11
Bank account or service,(CD) Certificate of deposit,MS,33
Debt collection,Non-federal student loan,ID,23
Bank account or service,Other bank product/service,LA,26
Mortgage,VA mortgage,KS,18
Money transfers,Domestic (US) money transfer,NC,42
Payday loan,Payday loan,SC,18
Money transfers,International money transfer,GA,26
Debt collection,Federal student loan,CT,37
Debt collection,Payday loan,WV,44
Debt collection,Auto,OK,15
Debt collection,"Other (i.e. phone, health club, etc.)",RI,17
Payday loan,Payday loan,VA,40
Payday loan,Payday loan,RI,19
Debt collection,"Other (i.e. phone, health club, etc.)",ME,40
Mortgage,Second mortgage,WA,25
Consumer Loan,Vehicle lease,MA,59
Debt collection,Non-federal student loan,RI,41
Debt collection,Payday loan,SC,22
Student loan,Non-federal student loan,SD,33
Debt collection,I do not know,VT,28
Debt collection,Federal student loan,DC,37
Money transfers,International money transfer,OH,32
Consumer Loan,Installment loan,NV,53
Consumer Loan,Personal line of credit,LA,57
Mortgage,Reverse mortgage,CO,31
Payday loan,Payday loan,OK,20
Money transfers,International money transfer,MS,21
Bank account or service,Cashing a check without an account,MN,28
Mortgage,Conventional adjustable mortgage (ARM),VI,38
Bank account or service,(CD) Certificate of deposit,UT,31
Consumer Loan,Installment loan,VA,71
Mortgage,Reverse mortgage,OR,22
Debt collection,Payday loan,PA,29
Debt collection,Medical,,32
Mortgage,Reverse mortgage,AL,16
Bank account or service,Checking account,HI,17
Debt collection,"Other (i.e. phone, health club, etc.)",NE,23
Debt collection,Medical,MT,36
Debt collection,Payday loan,VA,38
Consumer Loan,Vehicle lease,WA,66
Payday loan,Payday loan,,19
Debt collection,Auto,AR,28
Debt collection,Federal student loan,MI,35
Payday loan,Payday loan,NC,35
Money transfers,International money transfer,NH,22
Debt collection,"Other (i.e. phone, health club, etc.)",VI,45
Debt collection,Payday loan,NV,10
Debt collection,Federal student loan,MA,45
Debt collection,Auto,IN,10
Consumer Loan,Personal line of credit,PR,75
Money transfers,Domestic (US) money transfer,HI,24
Bank account or service,Checking account,SD,13
Mortgage,Second mortgage,AZ,28
Payday loan,Payday loan,NJ,18
Debt collection,Federal student loan,KS,37
Money transfers,Domestic (US) money transfer,NV,41
Student loan,Non-federal student loan,WV,10
Debt collection,Mortgage,NC,34
Debt collection,Mortgage,MT,32
Consumer Loan,Installment loan,AR,50
Mortgage,Reverse mortgage,NJ,28
Payday loan,Payday loan,WA,37
Money transfers,Domestic (US) money transfer,AL,28
Consumer Loan,Vehicle loan,RI,81
Debt collection,Federal student loan,NM,15
Bank account or service,Cashing a check without an account,VA,12
Money transfers,International money transfer,MN,44
Consumer Loan,Installment loan,MO,58
Payday loan,Payday loan,NV,22
Debt collection,I do not know,ID,24
Debt collection,"Other (i.e. phone, health club, etc.)",GU,32
Debt collection,Auto,KY,32
Debt collection,Payday loan,MO,30
Debt collection,Non-federal student loan,SC,15
Consumer Loan,Personal line of credit,KY,68
Debt collection,Auto,NJ,22
Debt collection,Payday loan,MN,45
Consumer Loan,Personal line of credit,OH,70
Bank account or service,(CD) Certificate of deposit,OR,26
Money transfers,International money transfer,MA,43
Debt collection,Medical,AR,41
Mortgage,Second mortgage,CO,44
Debt collection,Payday loan,IL,25
Mortgage,Home equity loan or line of credit,CT,41
Debt collection,Payday loan,MD,37
Debt collection,Mortgage,HI,41
Mortgage,Conventional fixed mortgage,SD,28
Bank account or service,(CD) Certificate of deposit,KY,26
Debt collection,Mortgage,NH,17
Debt collection,"Other (i.e. phone, health club, etc.)",PR,40
Debt collection,I do not know,NE,41
Debt collection,Payday loan,IA,30
Debt collection,Non-federal student loan,KY,41
Consumer Loan,Installment loan,IN,82
Money transfers,International money transfer,LA,33
Payday loan,Payday loan,MN,18
Mortgage,FHA mortgage,NM,20
Debt collection,Federal student loan,LA,13
Mortgage,FHA mortgage,VT,24
Debt collection,Payday loan,GA,45
Money transfers,Domestic (US) money transfer,MO,31
Mortgage,Second mortgage,IL,23
Bank account or service,Savings account,MO,41
Bank account or service,Other bank product/service,HI,31
Mortgage,Second mortgage,MD,20
Mortgage,Reverse mortgage,LA,11
Debt collection,Non-federal student loan,LA,38
Debt collection,Federal student loan,PR,23
Money transfers,Domestic (US) money transfer,MI,37
Debt collection,Payday loan,ND,37
Bank account or service,(CD) Certificate of deposit,PR,17
Debt collection,Non-federal student loan,AK,37
Mortgage,Reverse mortgage,OH,14
Debt collection,Payday loan,KY,41
Debt collection,Payday loan,KS,11
Payday loan,Payday loan,NM,36
Bank account or service,Checking account,WV,42
Credit reporting,,FM,35
Mortgage,VA mortgage,NM,23
Mortgage,VA mortgage,MI,17
Consumer Loan,Personal line of credit,CT,68
Money transfers,International money transfer,IL,16
Payday loan,Payday loan,AR,34
Debt collection,Medical,HI,12
Debt collection,Medical,MN,30
Debt collection,Federal student loan,MD,40
Bank account or service,(CD) Certificate of deposit,RI,38
Bank account or service,Checking account,AE,14
Mortgage,VA mortgage,CT,44
Payday loan,Payday loan,WY,13
Money transfers,International money transfer,DC,38
Mortgage,Conventional adjustable mortgage (ARM),RI,39
Payday loan,Payday loan,CO,26
Bank account or service,Savings account,MN,40
Debt collection,Mortgage,AL,36
Mortgage,Conventional fixed mortgage,PR,33
Mortgage,Other mortgage,VI,38
Bank account or service,Cashing a check without an account,NJ,21
Debt collection,Payday loan,CO,36
Credit reporting,,AE,24
Credit reporting,,ND,35
Bank account or service,(CD) Certificate of deposit,LA,36
Debt collection,Non-federal student loan,OK,30
Mortgage,VA mortgage,IL,42
Mortgage,FHA mortgage,KS,23
Consumer Loan,Personal line of credit,TN,55
Debt collection,Auto,DE,42
Debt collection,Non-federal student loan,UT,45
Debt collection,Federal student loan,TN,16
Mortgage,Second mortgage,NE,19
Debt collection,Federal student loan,WY,19
Mortgage,Conventional fixed mortgage,GU,22
Mortgage,Home equity loan or line of credit,NH,15
Mortgage,FHA mortgage,AK,31
Debt collection,Auto,MN,37
Money transfers,International money transfer,PA,43
Consumer Loan,Vehicle lease,PA,85
Money transfers,Domestic (US) money transfer,MN,21
Mortgage,Second mortgage,KS,20
Debt collection,Non-federal student loan,ME,45
Mortgage,Home equity loan or line of credit,DE,24
Mortgage,Conventional adjustable mortgage (ARM),VT,36
Debt collection,I do not know,NH,41
Mortgage,Reverse mortgage,OK,24
Consumer Loan,Installment loan,NH,54
Mortgage,FHA mortgage,ND,24
Debt collection,Auto,NM,31
Money transfers,Domestic (US) money transfer,WA,41
Consumer Loan,Personal line of credit,AR,65
Debt collection,Credit card,ME,30
Consumer Loan,Personal line of credit,MA,67
Bank account or service,Other bank product/service,NH,42
Consumer Loan,Installment loan,KY,78
Debt collection,Mortgage,CT,32
Mortgage,Conventional fixed mortgage,AE,23
Consumer Loan,Vehicle loan,HI,58
Debt collection,Payday loan,MT,31
Debt collection,Medical,IA,15
Consumer Loan,Personal line of credit,AK,83
Bank account or service,Savings account,VI,43
Bank account or service,Cashing a check without an account,MI,23
Bank account or service,Other bank product/service,CT,25
Payday loan,Payday loan,ID,16
Debt collection,Auto,SC,33
Bank account or service,Other bank product/service,MT,38
Consumer Loan,Installment loan,DC,66
Mortgage,VA mortgage,OH,22
Bank account or service,(CD) Certificate of deposit,MN,37
Debt collection,Auto,LA,33
Debt collection,Federal student loan,ME,20
Consumer Loan,Installment loan,KS,70
Bank account or service,Other bank product/service,IA,34
Consumer Loan,Vehicle lease,SC,58
Money transfers,International money transfer,WA,41
Consumer Loan,Personal line of credit,IN,53
Bank account or service,(CD) Certificate of deposit,MO,44
Consumer Loan,Vehicle loan,WI,84
Mortgage,VA mortgage,AR,32
Money transfers,International money transfer,DE,11
Consumer Loan,Personal line of credit,DC,59
Debt collection,I do not know,WY,42
Bank account or service,Other bank product/service,AR,25
Debt collection,Mortgage,TN,23
Bank account or service,Other bank product/service,OK,34
Bank account or service,Savings account,KS,28
Mortgage,VA mortgage,MN,40
Consumer Loan,Vehicle loan,LA,52
Payday loan,Payday loan,ND,33
Consumer Loan,Vehicle lease,TX,69
Debt collection,Payday loan,NH,34
Bank account or service,Savings account,DE,20
Bank account or service,Other bank product/service,VT,44
Bank account or service,Other bank product/service,DE,22
Consumer Loan,Personal line of credit,AL,78
Payday loan,Payday loan,NE,45
Mortgage,Conventional adjustable mortgage (ARM),,32
Mortgage,FHA mortgage,ME,25
Mortgage,Home equity loan or line of credit,AE,20
Debt collection,Mortgage,KY,44
Consumer Loan,Vehicle loan,UT,65
Bank account or service,Savings account,UT,39
Mortgage,Conventional adjustable mortgage (ARM),WV,22
Mortgage,Second mortgage,WY,35
Debt collection,Non-federal student loan,NM,33
Consumer Loan,Personal line of credit,AZ,80
Student loan,Non-federal student loan,ND,11
Consumer Loan,Vehicle lease,HI,63
Bank account or service,Savings account,KY,25
Consumer Loan,Installment loan,IA,50
Debt collection,Auto,CT,23
Bank account or service,Other bank product/service,SD,36
Debt collection,Payday loan,RI,25
Mortgage,FHA mortgage,WV,39
Consumer Loan,Personal line of credit,IA,55
Consumer Loan,Vehicle loan,NM,69
Mortgage,Reverse mortgage,ND,16
Debt collection,Payday loan,DE,36
Payday loan,Payday loan,DC,43
Payday loan,Payday loan,KS,25
Consumer Loan,Installment loan,CO,74
Debt collection,Payday loan,AR,30
Mortgage,Reverse mortgage,NC,29
Debt collection,Payday loan,UT,32
Debt collection,Mortgage,,18
Bank account or service,Cashing a check without an account,SC,12
Payday loan,Payday loan,UT,29
Debt collection,Mortgage,IA,19
Debt collection,Medical,AK,20
Debt collection,Medical,WV,38
Bank account or service,Checking account,ND,10
Mortgage,FHA mortgage,AE,26
Debt collection,Auto,SD,26
Debt collection,Auto,OR,21
Mortgage,Other mortgage,GU,22
Debt collection,Payday loan,VT,27
Debt collection,Medical,WY,23
Money transfers,Domestic (US) money transfer,OK,44
Consumer Loan,Vehicle loan,SD,74
Consumer Loan,Personal line of credit,,76
Mortgage,Reverse mortgage,WV,11
Payday loan,Payday loan,SD,28
Mortgage,Home equity loan or line of credit,LA,28
Mortgage,VA mortgage,NH,25
Debt collection,Mortgage,RI,21
Debt collection,Auto,RI,34
Consumer Loan,Vehicle lease,ID,72
Debt collection,Medical,PR,13
Mortgage,FHA mortgage,MT,26
Money transfers,Domestic (US) money transfer,MA,15
Mortgage,VA mortgage,IA,26
Mortgage,Second mortgage,PA,43
Bank account or service,Other bank product/service,AK,25
Mortgage,Conventional adjustable mortgage (ARM),NM,32
Credit card,,ND,80
Money transfers,Domestic (US) money transfer,DC,21
Consumer Loan,Personal line of credit,WI,68
Mortgage,VA mortgage,ME,34
Debt collection,Auto,DC,10
Bank account or service,Cashing a check without an account,ME,42
Debt collection,Non-federal student loan,VT,24
Bank account or service,Cashing a check without an account,AR,28
Mortgage,VA mortgage,MA,43
Student loan,Non-federal student loan,MT,41
Debt collection,Credit card,AE,20
Bank account or service,(CD) Certificate of deposit,NE,39
Money transfers,Domestic (US) money transfer,WV,13
Student loan,Non-federal student loan,GU,16
Consumer Loan,Personal line of credit,WA,57
Debt collection,"Other (i.e. phone, health club, etc.)",ND,38
Money transfers,Domestic (US) money transfer,NM,16
Debt collection,Medical,RI,11
Payday loan,Payday loan,GA,37
Money transfers,Domestic (US) money transfer,TN,39
Mortgage,Home equity loan or line of credit,SD,45
Money transfers,Domestic (US) money transfer,MT,18
Debt collection,Federal student loan,SC,34
Mortgage,Conventional adjustable mortgage (ARM),WY,13
Consumer Loan,Installment loan,NM,69
Bank account or service,Checking account,GU,27
Mortgage,Other mortgage,WY,42
Debt collection,Non-federal student loan,WI,12
Mortgage,VA mortgage,NJ,33
Money transfers,International money transfer,OK,44
Debt collection,Mortgage,PR,31
Debt collection,Non-federal student loan,AL,43
Bank account or service,Other bank product/service,MS,30
Money transfers,International money transfer,WI,17
Credit reporting,,VI,39
Money transfers,Domestic (US) money transfer,CT,32
Mortgage,Other mortgage,AP,28
Mortgage,Conventional adjustable mortgage (ARM),IA,19
Mortgage,Second mortgage,MS,42
Mortgage,Second mortgage,NH,21
Debt collection,Payday loan,MA,18
Debt collection,Non-federal student loan,SD,20
Other financial service,Check cashing,NJ,23
Debt collection,Credit card,VI,32
Payday loan,Payday loan,CT,27
Money transfers,International money transfer,HI,29
Debt collection,Non-federal student loan,IA,38
Mortgage,Second mortgage,MO,38
Prepaid card,Mobile wallet,NJ,79
Prepaid card,Government benefit payment card,MI,81
Consumer Loan,Vehicle lease,VA,60
Mortgage,Reverse mortgage,VT,38
Prepaid card,Gift or merchant card,HI,71
Bank account or service,(CD) Certificate of deposit,MI,32
Mortgage,Reverse mortgage,NM,24
Debt collection,Non-federal student loan,AE,22
Payday loan,Payday loan,MT,37
Mortgage,VA mortgage,MS,38
Prepaid card,General purpose card,VA,60
Debt collection,Mortgage,UT,43
Debt collection,Federal student loan,OK,33
Prepaid card,Mobile wallet,VA,51
Consumer Loan,Title loan,NC,71
Prepaid card,Mobile wallet,TX,68
Bank account or service,(CD) Certificate of deposit,CO,12
Other financial service,Foreign currency exchange,NY,38
Debt collection,Auto,WI,20
Mortgage,Reverse mortgage,KS,27
Bank account or service,Savings account,WV,39
Student loan,Non-federal student loan,HI,25
Prepaid card,General purpose card,IA,76
Consumer Loan,Installment loan,MA,50
Payday loan,Payday loan,KY,22
Bank account or service,(CD) Certificate of deposit,OK,10
Consumer Loan,Installment loan,SD,83
Consumer Loan,Vehicle loan,GU,66
Bank account or service,(CD) Certificate of deposit,AR,45
Consumer Loan,Title loan,OH,84
Other financial service,Refund anticipation check,DC,23
Credit reporting,,GU,39
Debt collection,Mortgage,AR,15
Other financial service,Debt settlement,CA,25
Prepaid card,Payroll card,MA,73
Prepaid card,General purpose card,CT,73
Debt collection,Payday loan,CT,17
Prepaid card,Gift or merchant card,CA,68
Other financial service,Check cashing,TX,28
Prepaid card,Gift or merchant card,FL,71
Prepaid card,Gift or merchant card,VA,50
Consumer Loan,Installment loan,DE,52
Prepaid card,Payroll card,NC,58
Debt collection,Federal student loan,RI,16
Credit reporting,,AP,28
Bank account or service,Cashing a check without an account,MS,11
Consumer Loan,Vehicle loan,ME,71
Prepaid card,General purpose card,NY,78
Consumer Loan,Vehicle lease,MN,78
Consumer Loan,Title loan,GA,54
Mortgage,VA mortgage,PR,15
Consumer Loan,Title loan,TX,66
Consumer Loan,Installment loan,MN,68
Prepaid card,Other special purpose card,GA,74
Prepaid card,General purpose card,NC,68
Prepaid card,Government benefit payment card,ND,80
Bank account or service,Savings account,PR,31
Bank account or service,Savings account,ID,33
Prepaid card,ID prepaid card,FL,70
Consumer Loan,Installment loan,UT,55
Mortgage,Home equity loan or line of credit,WV,16
Mortgage,Home equity loan or line of credit,HI,31
Mortgage,Home equity loan or line of credit,KS,12
Other financial service,Refund anticipation check,ME,28
Credit reporting,,MH,16
Debt collection,Credit card,AP,32
Debt collection,Federal student loan,AL,19
Other financial service,Check cashing,CA,38
Consumer Loan,Vehicle loan,VT,66
Prepaid card,Other special purpose card,CA,70
Prepaid card,Gift or merchant card,GA,76
Bank account or service,Checking account,VI,27
Consumer Loan,Title loan,FL,84
Consumer Loan,Installment loan,VT,52
Prepaid card,Mobile wallet,CA,61
Other financial service,Credit repair,NJ,17
Mortgage,Reverse mortgage,SC,40
Payday loan,Payday loan,MS,22
Prepaid card,Mobile wallet,AZ,77
Prepaid card,General purpose card,CA,64
Prepaid card,Government benefit payment card,NM,82
Consumer Loan,Vehicle lease,RI,70
Other financial service,Debt settlement,TX,31
